bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
1294,-2,-2,-2,-2,4,4,0,0
1295,-1,-2,-1,-2,3,3,0,0
1296,-1,-1,-1,-1,2,2,0,0
1297,-1,0,-1,0,1,1,0,0
1298,-1,-1,-1,-1,2,2,0,0
1299,0,-2,0,-2,2,2,0,0
1300,0,-1,0,-1,1,1,0,0
1301,0,0,0,0,0,0,0,0
1302,1,0,1,0,1,1,0,0
1303,0,0,0,0,0,0,0,0
1304,0,1,0,1,1,1,0,0
1305,-1,0,-1,0,1,1,0,0
1306,-1,-2,-1,-2,3,3,0,0
1307,-1,-1,-1,-1,2,2,0,0
1308,0,-1,0,-1,1,1,0,0
1309,1,-1,1,-1,2,2,0,0
1310,1,-1,1,-1,2,2,0,0
1311,0,1,0,1,1,1,0,0
1312,-1,0,-1,0,1,1,0,0
1313,0,-1,0,-1,1,1,0,0
1314,0,1,0,1,1,1,0,0
1315,-1,1,-1,1,2,2,0,0
1316,-1,-1,-1,-1,2,2,0,0
1317,-1,-1,-1,-1,2,2,0,0
1318,0,0,0,0,0,0,0,0
1319,-1,0,-1,0,1,1,0,0
1320,-1,0,-1,0,1,1,0,0
1321,1,0,1,0,1,1,0,0
1322,0,0,0,0,0,0,0,0
1323,-1,0,-1,0,1,1,0,0
1324,0,1,0,1,1,1,0,0
1325,1,0,1,0,1,1,0,0
1326,-1,1,-1,1,2,2,0,0
1327,-2,1,-2,1,3,3,0,0
1328,-2,1,-2,1,3,3,0,0
1329,-3,-1,-3,-1,4,4,0,0
1330,-2,0,-2,0,2,2,0,0
1331,-2,0,-2,0,2,2,0,0
1332,-1,0,-1,0,1,1,0,0
1333,-1,-1,-1,-1,2,2,0,0
1334,-3,-1,-3,-1,4,4,0,0
1335,-1,0,-1,0,1,1,0,0
1336,-3,-1,-3,-1,4,4,0,0
1337,-2,-1,-2,-1,3,3,0,0
1338,-2,-2,-2,-2,4,4,0,0
1339,0,-2,0,-2,2,2,0,0
1340,0,-1,0,-1,1,1,0,0
1341,-1,-1,-1,-1,2,2,0,0
1342,-1,-1,-1,-1,2,2,0,0
1343,0,0,0,0,0,0,0,0
1344,0,-1,0,-1,1,1,0,0
1345,-1,-1,-1,-1,2,2,0,0
1346,0,-1,0,-1,1,1,0,0
1347,0,0,0,0,0,0,0,0
1348,-2,-1,-2,-1,3,3,0,0
1349,0,-1,0,-1,1,1,0,0
1350,0,-2,0,-2,2,2,0,0
1351,-1,-1,-1,-1,2,2,0,0
1352,0,-2,0,-2,2,2,0,0
1353,-1,0,-1,0,1,1,0,0
1354,-1,-2,-1,-2,3,3,0,0
1355,0,0,0,0,0,0,0,0
1356,1,0,1,0,1,1,0,0
1357,1,-1,1,-1,2,2,0,0
1358,1,1,1,1,2,2,0,0
1359,-1,1,-1,1,2,2,0,0
1360,1,0,1,0,1,1,0,0
1361,1,1,1,1,2,2,0,0
1362,0,0,0,0,0,0,0,0
1363,0,1,0,1,1,1,0,0
1364,0,1,0,1,1,1,0,0
1365,0,1,0,1,1,1,0,0
1366,0,1,0,1,1,1,0,0
1367,0,1,0,1,1,1,0,0
1368,-1,1,-1,1,2,2,0,0
1369,-2,2,-2,2,4,4,0,0
1370,-2,0,-2,0,2,2,0,0
1371,-3,0,-3,0,3,3,0,0
1372,-3,0,-3,0,3,3,0,0
1373,-3,0,-3,0,3,3,0,0
1374,-2,-1,-2,-1,3,3,0,0
1375,-1,0,-1,0,1,1,0,0
1376,-2,-1,-2,-1,3,3,0,0
1377,0,-1,0,-1,1,1,0,0
1378,-2,0,-2,0,2,2,0,0
1379,-1,-3,-1,-3,4,4,0,0
1380,-1,-2,-1,-2,3,3,0,0
1381,0,-2,0,-2,2,2,0,0
1382,-1,-2,-1,-2,3,3,0,0
1383,0,-1,0,-1,1,1,0,0
1384,0,-1,0,-1,1,1,0,0
1385,-1,-2,-1,-2,3,3,0,0
1386,0,-1,0,-1,1,1,0,0
1387,1,-2,1,-2,3,3,0,0
1388,0,-1,0,-1,1,1,0,0
1389,-1,-1,-1,-1,2,2,0,0
1390,0,0,0,0,0,0,0,0
1391,-1,-1,-1,-1,2,2,0,0
1392,-1,-1,-1,-1,2,2,0,0
1393,-1,-1,-1,-1,2,2,0,0
1394,1,-1,1,-1,2,2,0,0
1395,-1,-1,-1,-1,2,2,0,0
1396,-1,-1,-1,-1,2,2,0,0
1397,0,-1,0,-1,1,1,0,0
1398,0,-1,0,-1,1,1,0,0
1399,0,-1,0,-1,1,1,0,0
1400,0,0,0,0,0,0,0,0
1401,0,0,0,0,0,0,0,0
1402,1,0,1,0,1,1,0,0
1403,1,0,1,0,1,1,0,0
1404,1,2,1,2,3,3,0,0
1405,0,1,0,1,1,1,0,0
1406,0,-1,0,-1,1,1,0,0
1407,0,-1,0,-1,1,1,0,0
1408,1,1,1,1,2,2,0,0
1409,0,2,0,2,2,2,0,0
1410,0,1,0,1,1,1,0,0
1411,-1,2,-1,2,3,3,0,0
1412,-2,0,-2,0,2,2,0,0
1413,-3,0,-3,0,3,3,0,0
1414,-2,0,-2,0,2,2,0,0
1415,-2,1,-2,1,3,3,0,0
1416,-2,1,-2,1,3,3,0,0
1417,-3,1,-3,1,4,4,0,0
1418,-2,1,-2,1,3,3,0,0
1419,-2,0,-2,0,2,2,0,0
1420,-1,-1,-1,-1,2,2,0,0
1421,-2,-1,-2,-1,3,3,0,0
1422,-1,-1,-1,-1,2,2,0,0
1423,-2,-2,-2,-2,4,4,0,0
1424,-1,-1,-1,-1,2,2,0,0
1425,0,-1,0,-1,1,1,0,0
1426,-1,-2,-1,-2,3,3,0,0
1427,0,0,0,0,0,0,0,0
1428,-2,-2,-2,-2,4,4,0,0
1429,-2,-2,-2,-2,4,4,0,0
1430,-1,-1,-1,-1,2,2,0,0
1431,-1,-1,-1,-1,2,2,0,0
1432,-1,-1,-1,-1,2,2,0,0
1433,0,-1,0,-1,1,1,0,0
1434,-1,-1,-1,-1,2,2,0,0
1435,0,-1,0,-1,1,1,0,0
1436,0,-1,0,-1,1,1,0,0
1437,0,0,0,0,0,0,0,0
