bin,out_i,out_q
356,21246,-22871
357,21594,-22542
358,21937,-22208
359,22276,-21870
360,22608,-21525
361,22935,-21176
362,23258,-20822
363,23576,-20462
364,23886,-20098
365,24191,-19730
366,24491,-19356
367,24786,-18978
368,25073,-18596
369,25355,-18210
370,25632,-17818
371,25903,-17422
372,26166,-17023
373,26424,-16620
374,26677,-16212
375,26922,-15802
376,27160,-15388
377,27394,-14968
378,27620,-14546
379,27840,-14120
380,28054,-13693
381,28260,-13260
382,28460,-12826
383,28654,-12388
384,28841,-11946
385,29020,-11502
386,29192,-11056
387,29360,-10607
388,29518,-10156
389,29671,-9702
390,29816,-9246
391,29954,-8786
392,30085,-8326
393,30209,-7864
394,30328,-7400
395,30438,-6934
396,30540,-6466
397,30636,-5996
398,30724,-5526
399,30805,-5053
400,30879,-4580
401,30945,-4107
402,31005,-3632
403,31056,-3155
404,31102,-2678
405,31138,-2202
406,31170,-1723
407,31192,-1245
408,31207,-766
409,31216,-288
410,31216,192
411,31209,669
412,31196,1148
413,31174,1627
414,31145,2106
415,31110,2583
416,31066,3059
417,31016,3535
418,30958,4012
419,30892,4485
420,30820,4959
421,30740,5430
422,30653,5902
423,30559,6371
424,30458,6840
425,30350,7306
426,30234,7771
427,30111,8233
428,29981,8695
429,29844,9153
430,29700,9610
431,29549,10064
432,29392,10516
433,29226,10966
434,29056,11413
435,28877,11858
436,28692,12298
437,28499,12738
438,28300,13173
439,28095,13606
440,27883,14035
441,27664,14461
442,27439,14884
443,27209,15303
444,26970,15719
445,26726,16130
446,26476,16538
447,26218,16944
448,25956,17342
449,25687,17738
450,25411,18130
451,25130,18519
452,24843,18902
453,24550,19281
454,24252,19655
455,23946,20024
456,23638,20390
457,23322,20750
458,23001,21106
459,22675,21455
460,22342,21802
461,22006,22141
462,21664,22476
463,21315,22805
464,20963,23130
465,20606,23449
466,20244,23762
467,19876,24070
468,19506,24372
469,19129,24668
470,18749,24958
471,18364,25243
472,17974,25523
473,17580,25795
474,17182,26062
475,16782,26322
476,16376,26576
477,15966,26824
478,15554,27066
479,15136,27302
480,14715,27531
481,14292,27752
482,13864,27968
483,13433,28178
484,12999,28382
485,12562,28578
486,12122,28766
487,11680,28949
488,11234,29124
489,10786,29293
490,10336,29456
491,9883,29611
492,9427,29758
493,8970,29900
494,8510,30034
495,8048,30162
496,7586,30281
497,7120,30393
498,6652,30500
499,6184,30598
500,5714,30689
501,5243,30773
502,4769,30851
503,4296,30920
504,3821,30982
505,3345,31036
506,2868,31084
507,2392,31124
508,1914,31159
509,1436,31184
510,957,31202
511,479,31214
512,0,31217
513,-480,31214
514,-958,31201
515,-1436,31184
516,-1914,31158
517,-2392,31124
518,-2868,31084
519,-3346,31036
520,-3822,30981
521,-4297,30920
522,-4770,30851
523,-5244,30773
524,-5714,30689
525,-6184,30598
526,-6653,30500
527,-7120,30393
528,-7586,30281
529,-8048,30161
530,-8510,30034
531,-8970,29899
532,-9428,29758
533,-9884,29611
534,-10336,29456
535,-10786,29293
536,-11234,29124
537,-11681,28949
538,-12123,28766
539,-12562,28578
540,-13000,28381
541,-13434,28178
542,-13865,27968
543,-14292,27752
544,-14716,27530
545,-15136,27302
546,-15554,27066
547,-15967,26824
548,-16376,26576
549,-16782,26322
550,-17183,26062
551,-17581,25795
552,-17975,25522
553,-18365,25243
554,-18750,24958
555,-19130,24668
556,-19507,24372
557,-19877,24070
558,-20244,23762
559,-20607,23449
560,-20964,23130
561,-21316,22805
562,-21664,22476
563,-22006,22141
564,-22342,21802
565,-22676,21455
566,-23001,21105
567,-23323,20750
568,-23638,20390
569,-23947,20024
570,-24253,19655
571,-24551,19281
572,-24844,18902
573,-25130,18519
574,-25412,18130
575,-25688,17738
576,-25956,17342
577,-26219,16944
578,-26476,16538
579,-26726,16130
580,-26971,15719
581,-27210,15303
582,-27440,14884
583,-27665,14461
584,-27884,14035
585,-28096,13606
586,-28301,13173
587,-28500,12738
588,-28692,12298
589,-28878,11858
590,-29056,11413
591,-29226,10966
592,-29392,10516
593,-29550,10064
594,-29701,9610
595,-29844,9152
596,-29982,8695
597,-30112,8233
598,-30234,7771
599,-30350,7306
600,-30458,6840
601,-30560,6371
602,-30654,5902
603,-30741,5430
604,-30820,4959
605,-30893,4485
606,-30958,4012
607,-31016,3535
608,-31066,3059
609,-31110,2583
610,-31146,2106
611,-31175,1627
612,-31196,1148
613,-31210,669
614,-31216,192
615,-31216,-288
616,-31208,-766
617,-31192,-1245
618,-31170,-1723
619,-31139,-2202
620,-31102,-2678
621,-31056,-3155
622,-31006,-3632
623,-30946,-4107
624,-30880,-4580
625,-30806,-5053
626,-30724,-5526
627,-30636,-5996
628,-30540,-6466
629,-30438,-6934
630,-30328,-7400
631,-30210,-7864
632,-30086,-8326
633,-29954,-8786
634,-29816,-9246
635,-29672,-9702
636,-29519,-10156
637,-29360,-10607
638,-29193,-11056
639,-29021,-11502
640,-28842,-11946
641,-28654,-12388
642,-28460,-12826
643,-28261,-13260
644,-28054,-13693
645,-27840,-14120
646,-27621,-14546
647,-27395,-14968
648,-27161,-15388
649,-26922,-15802
650,-26678,-16213
651,-26424,-16620
652,-26166,-17024
653,-25904,-17422
654,-25632,-17818
655,-25356,-18210
656,-25073,-18597
657,-24786,-18978
658,-24492,-19356
659,-24192,-19730
660,-23886,-20098
661,-23576,-20462
662,-23258,-20822
663,-22936,-21176
664,-22608,-21526
665,-22276,-21870
666,-21938,-22208
667,-21595,-22542
668,-21246,-22871
669,-20894,-23196
670,-20534,-23512
671,-20171,-23825
672,-19804,-24130
673,-19432,-24432
674,-19054,-24728
675,-18674,-25018
676,-18286,-25300
677,-17898,-25578
678,-17502,-25849
679,-17104,-26114
680,-16701,-26374
681,-16294,-26627
682,-15884,-26874
683,-15470,-27114
684,-15052,-27348
685,-14631,-27576
686,-14206,-27796
687,-13778,-28012
688,-13347,-28220
689,-12912,-28421
690,-12475,-28616
691,-12034,-28804
692,-11592,-28984
693,-11144,-29160
694,-10697,-29327
695,-10246,-29488
696,-9792,-29640
697,-9336,-29788
698,-8878,-29928
699,-8419,-30060
700,-7956,-30186
701,-7492,-30304
702,-7026,-30416
703,-6558,-30520
704,-6091,-30618
705,-5620,-30707
706,-5149,-30790
707,-4675,-30864
708,-4202,-30932
709,-3726,-30994
710,-3251,-31048
711,-2774,-31093
712,-2296,-31132
713,-1819,-31164
714,-1340,-31190
715,-862,-31205
716,-382,-31215
717,95,-31216
718,574,-31212
719,1053,-31198
720,1532,-31180
721,2010,-31152
722,2487,-31116
723,2964,-31076
724,3440,-31026
725,3917,-30970
726,4390,-30906
727,4864,-30836
728,5337,-30758
729,5808,-30672
730,6277,-30579
731,6746,-30480
732,7213,-30372
733,7678,-30258
734,8141,-30137
735,8602,-30008
736,9062,-29872
737,9518,-29730
738,9973,-29580
739,10426,-29425
740,10876,-29261
741,11324,-29090
742,11769,-28913
743,12210,-28730
744,12650,-28538
745,13086,-28342
746,13520,-28138
747,13950,-27926
748,14376,-27710
749,14800,-27486
750,15220,-27256
751,15636,-27018
752,16048,-26776
753,16456,-26526
754,16863,-26271
755,17263,-26009
756,17660,-25741
757,18053,-25468
758,18442,-25188
759,18825,-24902
760,19205,-24610
761,19581,-24312
762,19951,-24008
763,20318,-23700
764,20679,-23386
765,21036,-23066
766,21386,-22740
767,21733,-22410
768,22074,-22074
769,22410,-21734
770,22740,-21386
771,23066,-21036
772,23386,-20679
773,23699,-20318
774,24008,-19952
775,24312,-19582
776,24609,-19206
777,24901,-18826
778,25188,-18442
779,25467,-18054
780,25740,-17660
781,26008,-17264
782,26270,-16864
783,26526,-16457
784,26776,-16048
785,27018,-15636
786,27255,-15221
787,27484,-14800
788,27709,-14376
789,27926,-13950
790,28137,-13520
791,28341,-13087
792,28538,-12651
793,28729,-12211
794,28912,-11770
795,29090,-11324
796,29260,-10876
797,29424,-10426
798,29580,-9974
799,29730,-9519
800,29872,-9062
801,30008,-8602
802,30136,-8141
803,30258,-7678
804,30372,-7214
805,30479,-6746
806,30578,-6278
807,30671,-5808
808,30756,-5337
809,30835,-4865
810,30906,-4390
811,30970,-3918
812,31026,-3441
813,31075,-2965
814,31116,-2488
815,31152,-2010
816,31179,-1532
817,31198,-1054
818,31212,-574
819,31216,-96
820,31214,382
821,31204,862
822,31188,1340
823,31164,1818
824,31132,2296
825,31092,2774
826,31047,3250
827,30993,3726
828,30932,4201
829,30864,4674
830,30789,5148
831,30706,5620
832,30617,6090
833,30520,6558
834,30416,7026
835,30304,7492
836,30186,7956
837,30060,8418
838,29928,8877
839,29787,9336
840,29640,9792
841,29487,10245
842,29326,10696
843,29159,11144
844,28984,11592
845,28804,12034
846,28616,12474
847,28420,12912
848,28220,13347
849,28012,13778
850,27796,14206
851,27574,14630
852,27348,15052
853,27114,15470
854,26874,15884
855,26626,16294
856,26373,16700
857,26114,17104
858,25848,17502
859,25578,17897
860,25300,18286
861,25017,18673
862,24727,19054
863,24432,19431
864,24130,19804
865,23824,20170
866,23512,20534
867,23195,20893
868,22870,21246
869,22542,21594
870,22208,21937
871,21869,22276
872,21524,22608
873,21176,22935
874,20822,23258
875,20462,23576
876,20098,23886
877,19730,24191
878,19356,24491
879,18978,24786
880,18596,25073
881,18210,25355
882,17818,25632
883,17422,25903
884,17022,26166
885,16620,26424
886,16212,26677
887,15801,26922
888,15387,27160
889,14968,27394
890,14545,27620
891,14120,27840
892,13692,28054
893,13260,28260
894,12825,28460
895,12387,28654
896,11946,28841
897,11502,29020
898,11055,29192
899,10606,29360
900,10155,29518
901,9702,29671
902,9245,29816
903,8786,29954
904,8326,30085
905,7863,30209
906,7399,30328
907,6933,30438
908,6465,30540
909,5996,30636
910,5526,30724
911,5052,30805
912,4580,30879
913,4106,30945
914,3631,31005
915,3154,31056
916,2678,31102
917,2201,31138
918,1722,31170
919,1244,31192
920,765,31207
921,287,31216
922,-192,31216
923,-670,31209
924,-1149,31196
925,-1628,31174
926,-2106,31145
927,-2584,31110
928,-3060,31066
929,-3536,31016
930,-4012,30958
931,-4486,30892
932,-4960,30820
933,-5431,30740
934,-5902,30653
935,-6372,30559
936,-6840,30458
937,-7307,30350
938,-7772,30234
939,-8234,30111
940,-8696,29981
941,-9154,29844
942,-9610,29700
943,-10065,29549
944,-10516,29392
945,-10966,29226
946,-11414,29056
947,-11858,28877
948,-12299,28692
949,-12738,28499
950,-13174,28300
951,-13607,28095
952,-14036,27883
953,-14462,27664
954,-14884,27439
955,-15304,27209
956,-15720,26970
957,-16130,26726
958,-16539,26476
959,-16944,26218
960,-17343,25956
961,-17739,25687
962,-18131,25411
963,-18520,25130
964,-18902,24843
965,-19282,24550
966,-19656,24252
967,-20025,23946
968,-20390,23638
969,-20750,23322
970,-21106,23001
971,-21456,22675
972,-21802,22342
973,-22142,22006
974,-22476,21664
975,-22806,21315
976,-23130,20963
977,-23450,20606
978,-23762,20244
979,-24070,19876
980,-24372,19506
981,-24669,19129
982,-24959,18749
983,-25244,18364
984,-25524,17974
985,-25796,17580
986,-26062,17182
987,-26322,16782
988,-26576,16376
989,-26825,15966
990,-27067,15554
991,-27302,15136
992,-27532,14715
993,-27753,14292
994,-27968,13864
995,-28179,13433
996,-28382,12999
997,-28578,12562
998,-28767,12122
999,-28950,11680
1000,-29125,11234
1001,-29294,10786
1002,-29456,10336
1003,-29612,9883
1004,-29759,9427
1005,-29900,8970
1006,-30035,8510
1007,-30162,8048
1008,-30282,7586
1009,-30394,7120
1010,-30500,6652
1011,-30598,6184
1012,-30690,5714
1013,-30774,5243
1014,-30852,4769
1015,-30920,4296
1016,-30982,3821
1017,-31036,3345
1018,-31084,2868
1019,-31125,2392
1020,-31160,1914
