bin,out_i,out_q
1504,-14715,-27531
1505,-14292,-27752
1506,-13864,-27968
1507,-13433,-28178
1508,-12999,-28382
1509,-12562,-28578
1510,-12122,-28766
1511,-11680,-28949
1512,-11234,-29124
1513,-10786,-29293
1514,-10336,-29456
1515,-9883,-29611
1516,-9427,-29758
1517,-8970,-29900
1518,-8510,-30034
1519,-8048,-30162
1520,-7586,-30281
1521,-7120,-30393
1522,-6652,-30500
1523,-6184,-30598
1524,-5714,-30689
1525,-5243,-30773
1526,-4769,-30851
1527,-4296,-30920
1528,-3821,-30982
1529,-3345,-31036
1530,-2868,-31084
1531,-2392,-31124
1532,-1914,-31159
1533,-1436,-31184
1534,-957,-31202
1535,-479,-31214
1536,0,-31217
1537,480,-31214
1538,958,-31201
1539,1436,-31184
1540,1914,-31158
1541,2392,-31124
1542,2868,-31084
1543,3346,-31036
1544,3822,-30981
1545,4297,-30920
1546,4770,-30851
1547,5244,-30773
1548,5714,-30689
1549,6184,-30598
1550,6653,-30500
1551,7120,-30393
1552,7586,-30281
1553,8048,-30161
1554,8510,-30034
1555,8970,-29899
1556,9428,-29758
1557,9884,-29611
1558,10336,-29456
1559,10786,-29293
1560,11234,-29124
1561,11681,-28949
1562,12123,-28766
1563,12562,-28578
1564,13000,-28381
1565,13434,-28178
1566,13865,-27968
1567,14292,-27752
1568,14716,-27530
1569,15136,-27302
1570,15554,-27066
1571,15967,-26824
1572,16376,-26576
1573,16782,-26322
1574,17183,-26062
1575,17581,-25795
1576,17975,-25522
1577,18365,-25243
1578,18750,-24958
1579,19130,-24668
1580,19507,-24372
1581,19877,-24070
1582,20244,-23762
1583,20607,-23449
1584,20964,-23130
1585,21316,-22805
1586,21664,-22476
1587,22006,-22141
1588,22342,-21802
1589,22676,-21455
1590,23001,-21105
1591,23323,-20750
1592,23638,-20390
1593,23947,-20024
1594,24253,-19655
1595,24551,-19281
1596,24844,-18902
1597,25130,-18519
1598,25412,-18130
1599,25688,-17738
1600,25956,-17342
1601,26219,-16944
1602,26476,-16538
1603,26726,-16130
1604,26971,-15719
1605,27210,-15303
1606,27440,-14884
1607,27665,-14461
1608,27884,-14035
1609,28096,-13606
1610,28301,-13173
1611,28500,-12738
1612,28692,-12298
1613,28878,-11858
1614,29056,-11413
1615,29226,-10966
1616,29392,-10516
1617,29550,-10064
1618,29701,-9610
1619,29844,-9152
1620,29982,-8695
1621,30112,-8233
1622,30234,-7771
1623,30350,-7306
1624,30458,-6840
1625,30560,-6371
1626,30654,-5902
1627,30741,-5430
1628,30820,-4959
1629,30893,-4485
1630,30958,-4012
1631,31016,-3535
1632,31066,-3059
1633,31110,-2583
1634,31146,-2106
1635,31175,-1627
1636,31196,-1148
1637,31210,-669
1638,31216,-192
1639,31216,288
1640,31208,766
1641,31192,1245
1642,31170,1723
1643,31139,2202
1644,31102,2678
1645,31056,3155
1646,31006,3632
1647,30946,4107
1648,30880,4580
1649,30806,5053
1650,30724,5526
1651,30636,5996
1652,30540,6466
1653,30438,6934
1654,30328,7400
1655,30210,7864
1656,30086,8326
1657,29954,8786
1658,29816,9246
1659,29672,9702
1660,29519,10156
1661,29360,10607
1662,29193,11056
1663,29021,11502
1664,28842,11946
1665,28654,12388
1666,28460,12826
1667,28261,13260
1668,28054,13693
1669,27840,14120
1670,27621,14546
1671,27395,14968
1672,27161,15388
1673,26922,15802
1674,26678,16213
1675,26424,16620
1676,26166,17024
1677,25904,17422
1678,25632,17818
1679,25356,18210
1680,25073,18597
1681,24786,18978
1682,24492,19356
1683,24192,19730
1684,23886,20098
1685,23576,20462
1686,23258,20822
1687,22936,21176
1688,22608,21526
1689,22276,21870
1690,21938,22208
1691,21595,22542
1692,21246,22871
1693,20894,23196
1694,20534,23512
1695,20171,23825
1696,19804,24130
1697,19432,24432
1698,19054,24728
1699,18674,25018
1700,18286,25300
1701,17898,25578
1702,17502,25849
1703,17104,26114
1704,16701,26374
1705,16294,26627
1706,15884,26874
1707,15470,27114
1708,15052,27348
1709,14631,27576
1710,14206,27796
1711,13778,28012
1712,13347,28220
1713,12912,28421
1714,12475,28616
1715,12034,28804
1716,11592,28984
1717,11144,29160
1718,10697,29327
1719,10246,29488
1720,9792,29640
1721,9336,29788
1722,8878,29928
1723,8419,30060
1724,7956,30186
1725,7492,30304
1726,7026,30416
1727,6558,30520
1728,6091,30618
1729,5620,30707
1730,5149,30790
1731,4675,30864
1732,4202,30932
1733,3726,30994
1734,3251,31048
1735,2774,31093
1736,2296,31132
1737,1819,31164
1738,1340,31190
1739,862,31205
1740,382,31215
1741,-95,31216
1742,-574,31212
1743,-1053,31198
1744,-1532,31180
1745,-2010,31152
1746,-2487,31116
1747,-2964,31076
1748,-3440,31026
1749,-3917,30970
1750,-4390,30906
1751,-4864,30836
1752,-5337,30758
1753,-5808,30672
1754,-6277,30579
1755,-6746,30480
1756,-7213,30372
1757,-7678,30258
1758,-8141,30137
1759,-8602,30008
1760,-9062,29872
1761,-9518,29730
1762,-9973,29580
1763,-10426,29425
1764,-10876,29261
1765,-11324,29090
1766,-11769,28913
1767,-12210,28730
1768,-12650,28538
1769,-13086,28342
1770,-13520,28138
1771,-13950,27926
1772,-14376,27710
1773,-14800,27486
1774,-15220,27256
1775,-15636,27018
1776,-16048,26776
1777,-16456,26526
1778,-16863,26271
1779,-17263,26009
1780,-17660,25741
1781,-18053,25468
1782,-18442,25188
1783,-18825,24902
1784,-19205,24610
1785,-19581,24312
1786,-19951,24008
1787,-20318,23700
1788,-20679,23386
1789,-21036,23066
1790,-21386,22740
1791,-21733,22410
1792,-22074,22074
1793,-22410,21734
1794,-22740,21386
1795,-23066,21036
1796,-23386,20679
1797,-23699,20318
1798,-24008,19952
1799,-24312,19582
1800,-24609,19206
1801,-24901,18826
1802,-25188,18442
1803,-25467,18054
1804,-25740,17660
1805,-26008,17264
1806,-26270,16864
1807,-26526,16457
1808,-26776,16048
1809,-27018,15636
1810,-27255,15221
1811,-27484,14800
1812,-27709,14376
1813,-27926,13950
1814,-28137,13520
1815,-28341,13087
1816,-28538,12651
1817,-28729,12211
1818,-28912,11770
1819,-29090,11324
1820,-29260,10876
1821,-29424,10426
1822,-29580,9974
1823,-29730,9519
1824,-29872,9062
1825,-30008,8602
1826,-30136,8141
1827,-30258,7678
1828,-30372,7214
1829,-30479,6746
1830,-30578,6278
1831,-30671,5808
1832,-30756,5337
1833,-30835,4865
1834,-30906,4390
1835,-30970,3918
1836,-31026,3441
1837,-31075,2965
1838,-31116,2488
1839,-31152,2010
1840,-31179,1532
1841,-31198,1054
1842,-31212,574
1843,-31216,96
1844,-31214,-382
1845,-31204,-862
1846,-31188,-1340
1847,-31164,-1818
1848,-31132,-2296
1849,-31092,-2774
1850,-31047,-3250
1851,-30993,-3726
1852,-30932,-4201
1853,-30864,-4674
1854,-30789,-5148
1855,-30706,-5620
1856,-30617,-6090
1857,-30520,-6558
1858,-30416,-7026
1859,-30304,-7492
1860,-30186,-7956
1861,-30060,-8418
1862,-29928,-8877
1863,-29787,-9336
1864,-29640,-9792
1865,-29487,-10245
1866,-29326,-10696
1867,-29159,-11144
1868,-28984,-11592
1869,-28804,-12034
1870,-28616,-12474
1871,-28420,-12912
1872,-28220,-13347
1873,-28012,-13778
1874,-27796,-14206
1875,-27574,-14630
1876,-27348,-15052
1877,-27114,-15470
1878,-26874,-15884
1879,-26626,-16294
1880,-26373,-16700
1881,-26114,-17104
1882,-25848,-17502
1883,-25578,-17897
1884,-25300,-18286
1885,-25017,-18673
1886,-24727,-19054
1887,-24432,-19431
1888,-24130,-19804
1889,-23824,-20170
1890,-23512,-20534
1891,-23195,-20893
1892,-22870,-21246
1893,-22542,-21594
1894,-22208,-21937
1895,-21869,-22276
1896,-21524,-22608
1897,-21176,-22935
1898,-20822,-23258
1899,-20462,-23576
1900,-20098,-23886
1901,-19730,-24191
1902,-19356,-24491
1903,-18978,-24786
1904,-18596,-25073
1905,-18210,-25355
1906,-17818,-25632
1907,-17422,-25903
1908,-17022,-26166
1909,-16620,-26424
1910,-16212,-26677
1911,-15801,-26922
1912,-15387,-27160
1913,-14968,-27394
1914,-14545,-27620
1915,-14120,-27840
1916,-13692,-28054
1917,-13260,-28260
1918,-12825,-28460
1919,-12387,-28654
1920,-11946,-28841
1921,-11502,-29020
1922,-11055,-29192
1923,-10606,-29360
1924,-10155,-29518
1925,-9702,-29671
1926,-9245,-29816
1927,-8786,-29954
1928,-8326,-30085
1929,-7863,-30209
1930,-7399,-30328
1931,-6933,-30438
1932,-6465,-30540
1933,-5996,-30636
1934,-5526,-30724
1935,-5052,-30805
1936,-4580,-30879
1937,-4106,-30945
1938,-3631,-31005
1939,-3154,-31056
1940,-2678,-31102
1941,-2201,-31138
1942,-1722,-31170
1943,-1244,-31192
1944,-765,-31207
1945,-287,-31216
1946,192,-31216
1947,670,-31209
1948,1149,-31196
1949,1628,-31174
1950,2106,-31145
1951,2584,-31110
1952,3060,-31066
1953,3536,-31016
1954,4012,-30958
1955,4486,-30892
1956,4960,-30820
1957,5431,-30740
1958,5902,-30653
1959,6372,-30559
1960,6840,-30458
1961,7307,-30350
1962,7772,-30234
1963,8234,-30111
1964,8696,-29981
1965,9154,-29844
1966,9610,-29700
1967,10065,-29549
1968,10516,-29392
1969,10966,-29226
1970,11414,-29056
1971,11858,-28877
1972,12299,-28692
1973,12738,-28499
1974,13174,-28300
1975,13607,-28095
1976,14036,-27883
1977,14462,-27664
1978,14884,-27439
1979,15304,-27209
1980,15720,-26970
1981,16130,-26726
1982,16539,-26476
1983,16944,-26218
1984,17343,-25956
1985,17739,-25687
1986,18131,-25411
1987,18520,-25130
1988,18902,-24843
1989,19282,-24550
1990,19656,-24252
1991,20025,-23946
1992,20390,-23638
1993,20750,-23322
1994,21106,-23001
1995,21456,-22675
1996,21802,-22342
1997,22142,-22006
1998,22476,-21664
1999,22806,-21315
2000,23130,-20963
2001,23450,-20606
2002,23762,-20244
2003,24070,-19876
2004,24372,-19506
2005,24669,-19129
2006,24959,-18749
2007,25244,-18364
2008,25524,-17974
2009,25796,-17580
2010,26062,-17182
2011,26322,-16782
2012,26576,-16376
2013,26825,-15966
2014,27067,-15554
2015,27302,-15136
2016,27532,-14715
2017,27753,-14292
2018,27968,-13864
2019,28179,-13433
2020,28382,-12999
2021,28578,-12562
2022,28767,-12122
2023,28950,-11680
2024,29125,-11234
2025,29294,-10786
2026,29456,-10336
2027,29612,-9883
2028,29759,-9427
2029,29900,-8970
2030,30035,-8510
2031,30162,-8048
2032,30282,-7586
2033,30394,-7120
2034,30500,-6652
2035,30598,-6184
2036,30690,-5714
2037,30774,-5243
2038,30852,-4769
2039,30920,-4296
2040,30982,-3821
2041,31036,-3345
2042,31084,-2868
2043,31125,-2392
2044,31160,-1914
2045,31185,-1436
2046,31202,-957
2047,31214,-479
