bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
159,16,-1,16,-1,17,17,0,0
160,16,0,16,0,16,16,0,0
161,16,-1,16,-1,17,17,0,0
162,16,-1,16,-1,17,17,0,0
163,16,-1,16,-1,17,17,0,0
164,16,-1,16,-1,17,17,0,0
165,16,-1,16,-1,17,17,0,0
166,16,-1,16,-1,17,17,0,0
167,16,-1,16,-1,17,17,0,0
168,16,0,16,0,16,16,0,0
169,16,-1,16,-1,17,17,0,0
170,16,-1,16,-1,17,17,0,0
171,16,-1,16,-1,17,17,0,0
172,16,-1,16,-1,17,17,0,0
173,16,-1,16,-1,17,17,0,0
174,16,-1,16,-1,17,17,0,0
175,16,-1,16,-1,17,17,0,0
176,16,0,16,0,16,16,0,0
177,16,-1,16,-1,17,17,0,0
178,16,-1,16,-1,17,17,0,0
179,16,-1,16,-1,17,17,0,0
180,16,-1,16,-1,17,17,0,0
181,16,-1,16,-1,17,17,0,0
182,16,-1,16,-1,17,17,0,0
183,16,-1,16,-1,17,17,0,0
184,16,-1,16,-1,17,17,0,0
185,16,-1,16,-1,17,17,0,0
186,16,-1,16,-1,17,17,0,0
187,16,-1,16,-1,17,17,0,0
188,16,-1,16,-1,17,17,0,0
189,16,-1,16,-1,17,17,0,0
190,16,-1,16,-1,17,17,0,0
191,16,-1,16,-1,17,17,0,0
192,16,0,16,0,16,16,0,0
193,16,-1,16,-1,17,17,0,0
194,16,-1,16,-1,17,17,0,0
195,16,-1,16,-1,17,17,0,0
196,16,-1,16,-1,17,17,0,0
197,16,-1,16,-1,17,17,0,0
198,16,-1,16,-1,17,17,0,0
199,16,-1,16,-1,17,17,0,0
200,16,0,16,0,16,16,0,0
201,16,-1,16,-1,17,17,0,0
202,16,-1,16,-1,17,17,0,0
203,16,-1,16,-1,17,17,0,0
204,16,-1,16,-1,17,17,0,0
205,16,-1,16,-1,17,17,0,0
206,16,-1,16,-1,17,17,0,0
207,16,-1,16,-1,17,17,0,0
208,16,0,16,0,16,16,0,0
209,16,0,16,0,16,16,0,0
210,16,-1,16,-1,17,17,0,0
211,16,-1,16,-1,17,17,0,0
212,16,-1,16,-1,17,17,0,0
213,16,-1,16,-1,17,17,0,0
214,16,-1,16,-1,17,17,0,0
215,16,-1,16,-1,17,17,0,0
216,16,-1,16,-1,17,17,0,0
217,16,-1,16,-1,17,17,0,0
218,16,-1,16,-1,17,17,0,0
219,16,-1,16,-1,17,17,0,0
220,16,-1,16,-1,17,17,0,0
221,16,-1,16,-1,17,17,0,0
222,16,-1,16,-1,17,17,0,0
223,16,-1,16,-1,17,17,0,0
224,16,0,16,0,16,16,0,0
225,16,-1,16,-1,17,17,0,0
226,16,-1,16,-1,17,17,0,0
227,16,-1,16,-1,17,17,0,0
228,16,-1,16,-1,17,17,0,0
229,16,-1,16,-1,17,17,0,0
230,16,-1,16,-1,17,17,0,0
231,16,-1,16,-1,17,17,0,0
232,16,-1,16,-1,17,17,0,0
233,16,0,16,0,16,16,0,0
234,16,-1,16,-1,17,17,0,0
